,id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,review_scores_rating,number_of_reviews
185,2155720,11000535,0,Baker,39.71911318312852,-104.9885556941344,Entire home/apt,4,1.0,2,2.0,185.0,50.0,100.0,4
189,2214963,5146416,0,West Highland,39.76008410954963,-105.0383149969662,Entire home/apt,5,2.0,3,3.0,249.0,199.0,97.0,17
190,2216969,10917089,1,Hilltop,39.72201847338694,-104.91177457140499,Entire home/apt,2,1.0,0,1.0,60.0,95.0,99.0,135
191,2221047,3848278,0,City Park West,39.74494835840135,-104.97104599252224,Entire home/apt,7,2.0,2,5.0,150.0,130.0,94.0,273
192,2232323,11393480,0,Country Club,39.72203408959229,-104.96622793002192,Entire home/apt,5,3.0,3,3.0,200.0,100.0,94.0,52
193,2232930,11397394,0,Speer,39.717571166041076,-104.98131559587488,Entire home/apt,4,1.0,2,2.0,120.0,45.0,92.0,29
194,2239191,1239512,0,Clayton,39.76664428705341,-104.95476938531763,Entire home/apt,6,1.0,3,3.0,169.0,65.0,90.0,33
195,2243316,4087056,1,City Park West,39.74175775132196,-104.967176446902,Entire home/apt,2,1.0,1,1.0,109.0,50.0,97.0,22
196,2250084,11491972,1,Lowry Field,39.72890588360715,-104.8960032305737,Private room,3,2.5,1,2.0,55.0,0.0,95.0,172
197,2257217,2191569,0,Five Points,39.75064601953437,-104.97725540484322,Private room,2,1.5,1,1.0,55.0,5.0,96.0,503
201,2329530,11491972,1,Lowry Field,39.72966532774647,-104.89766462947412,Private room,1,1.0,1,1.0,37.0,0.0,95.0,288
202,2332029,11910746,0,Speer,39.72125016494103,-104.98565154633215,Entire home/apt,2,1.0,1,1.0,100.0,25.0,95.0,184
207,2359615,5216325,0,CBD,39.74501838028372,-104.99792566330765,Entire home/apt,3,1.0,1,1.0,95.0,150.0,88.0,11
209,2361919,5811115,0,Berkeley,39.780092830997376,-105.03964815437055,Entire home/apt,2,1.0,1,1.0,70.0,100.0,97.0,29
212,2413071,12333471,1,Capitol Hill,39.73632505479982,-104.98067002475064,Entire home/apt,6,2.5,4,4.0,375.0,150.0,97.0,32
215,2441525,3125360,1,Berkeley,39.77026136097019,-105.03770144220036,Entire home/apt,4,1.0,2,3.0,125.0,100.0,96.0,66
216,2466830,6896064,0,Cory - Merrill,39.688885565982496,-104.95641628976948,Entire home/apt,2,1.5,2,2.0,300.0,120.0,100.0,4
218,2487185,4706233,1,Athmar Park,39.70433597937871,-105.01020484602765,Entire home/apt,4,1.0,3,4.0,199.0,100.0,100.0,2
219,2599115,10128382,0,Stapleton,39.756416785038965,-104.85848367662564,Entire home/apt,8,2.5,3,3.0,187.0,100.0,97.0,83
221,2653512,5817350,1,Highland,39.763357028573786,-105.01881177361855,Entire home/apt,2,1.0,1,1.0,139.0,50.0,99.0,87
229,2817786,14414164,1,Five Points,39.74743572446782,-104.9772431050811,Private room,2,1.0,1,1.0,74.0,25.0,99.0,124
234,2908978,9402581,1,Congress Park,39.73260576278693,-104.94861481722505,Private room,2,1.0,1,1.0,78.0,10.0,97.0,143
238,2957097,4706233,1,Athmar Park,39.70518892400232,-105.01129979260249,Entire home/apt,6,1.0,3,4.0,199.0,100.0,97.0,74
242,2979736,14178014,0,Baker,39.725146691609716,-104.99192660084508,Entire home/apt,12,3.0,5,10.0,500.0,150.0,94.0,118
243,2986943,8554690,0,City Park,39.740361457682255,-104.95864756391437,Entire home/apt,2,1.0,1,1.0,82.0,40.0,90.0,83
244,2998222,15283636,0,Gateway - Green Valley Ranch,39.780910973128265,-104.74516649602829,Entire home/apt,10,3.0,5,5.0,245.0,225.0,95.0,27
246,3095906,1655595,0,Indian Creek,39.68780362707308,-104.90344113459341,Private room,2,1.0,1,1.0,43.0,40.0,96.0,22
247,3115132,15828719,0,Sunnyside,39.77154717198507,-105.01008531719064,Entire home/apt,2,1.0,1,1.0,139.0,25.0,99.0,61
250,3140044,15836261,0,Five Points,39.76356908795267,-104.9749470284837,Entire home/apt,4,1.0,2,2.0,99.0,50.0,98.0,28
